Sample Name,Sample ID,Sample Type,Grower ID,4-Acetoxy DMT (mg/g),4-Acetoxy MET (mg/g),4-Hydroxy DET (mg/g),4-Hydroxy TMT (mg/g),4-Hydroxytryptamine (mg/g),4-Propanoyloxy DMT (mg/g),5-Hydroxytryptophan (mg/g),5-Methoxy DMT (mg/g),5-Methoxy NMT (mg/g),Adenosine (mg/g),Aeruginascin (mg/g),Baeocystin (mg/g),Bufotenin (mg/g),Methylcybin (mg/g),"N,N-DMT (mg/g)","N,N-MT (mg/g)",Norbaeocystin (mg/g),Norpsilocin (mg/g),PsilocinEQ (mg/g),Psilocin (mg/g),Psilocybin (mg/g),Serotonin (mg/g),Tryptamine (mg/g),Tryptophan (mg/g),4AcetoxyDMT_AmountMgPkg,4AcetoxyMET_AmountMgPkg,4HydroxyDET_AmountMgPkg,4HydroxyTMT_AmountMgPkg,4Hydroxytryptamine_AmountMgPkg,4PropanoyloxyDMT_AmountMgPkg,5Hydroxytryptophan_AmountMgPkg,5MethoxyDMT_AmountMgPkg,5MethoxyNMT_AmountMgPkg,Adenosine_AmountMgPkg,Aeruginascin_AmountMgPkg,Baeocystin_AmountMgPkg,Bufotenin_AmountMgPkg,Methylcybin_AmountMgPkg,"N,NDMT_AmountMgPkg",NNMT_AmountMgPkg,Norbaeocystin (mg/pkg),Norpsilocin_AmountMgPkg,PsilocinEQ (mg/pkg),Psilocin (mg/pkg),Psilocybin (mg/pkg),Serotonin_AmountMgPkg,Tryptamine_AmountMgPkg,Tryptophan_AmountMgPkg,4AcetoxyDMT_AmountMgSrv,4AcetoxyMET_AmountMgSrv,4HydroxyDET_AmountMgSrv,4HydroxyTMT_AmountMgSrv,4Hydroxytryptamine_AmountMgSrv,4PropanoyloxyDMT_AmountMgSrv,5Hydroxytryptophan_AmountMgSrv,5MethoxyDMT_AmountMgSrv,5MethoxyNMT_AmountMgSrv,Adenosine_AmountMgSrv,Aeruginascin_AmountMgSrv,Baeocystin_AmountMgSrv,Bufotenin_AmountMgSrv,Methylcybin_AmountMgSrv,"N,NDMT_AmountMgSrv",NNMT_AmountMgSrv,Norbaeocystin (mg/srv),Norpsilocin_AmountMgSrv,PsilocinEQ (mg/srv),Psilocin (mg/srv),Psilocybin (mg/srv),Serotonin_AmountMgSrv,Tryptamine_AmountMgSrv,Tryptophan_AmountMgSrv
Mexican Dutch Kings,TRP-240624-002,Fruit,,0.0,0.0,,0.0,0.002,,0.0,0.0,,0.096,0.0,0.189,0.0,0.0,0.0,0.0,0.089,0.011,4.9,0.456,6.187,0.0,0.014,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Teachers,TRP-240624-003,Fruit,,0.0,0.0,,0.0,0.008,,0.0,0.0,,0.167,0.0,0.139,0.0,0.0,0.0,0.0,0.052,0.017,3.51,0.757,3.832,0.0,0.011,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omni,TRP-240624-004,Fruit,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.074,0.015,0.35,0.0,0.0,0.0,0.0,0.116,0.003,9.1,0.474,12.009,0.0,0.012,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Teachers,TRP-240624-005,Fruit,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.111,0.0,0.201,0.0,0.0,0.0,0.0,0.143,0.007,4.61,0.376,5.892,0.0,0.042,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Transkei,TRP-240624-006,Fruit,,0.0,0.0,,0.0,0.007,,0.0,0.0,,0.081,0.012,0.175,0.0,0.0,0.0,0.0,0.142,0.013,4.24,0.321,5.449,0.0,0.0,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillbilly,TRP-240624-007,Fruit,,0.0,0.0,,0.0,0.007,,0.0,0.0,,0.068,0.0,0.162,0.0,0.0,0.0,0.0,0.129,0.005,5.41,0.275,7.148,0.0,0.0,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarf King,TRP-240624-008,Fruit,,0.0,0.0,,0.0,0.003,,0.0,0.0,,0.142,0.0,0.195,0.0,0.0,0.0,0.0,0.138,0.015,6.34,0.686,7.862,0.0,0.02,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFO KSSS,TRP-240624-009,Fruit,,0.0,0.0,,0.0,0.005,,0.0,0.0,,0.051,0.0,0.232,0.0,0.0,0.0,0.0,0.1,0.013,3.72,0.358,4.677,0.0,0.008,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMT,TRP-240628-021,Isolate,25900,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,778.324,8.104,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMF 00,TRP-240708-011,Fruit,GI 25465,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.035,0.012,0.262,0.0,0.0,0.0,0.0,0.092,0.003,2.9,0.065,3.948,0.0,0.005,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUCH 00,TRP-240708-012,Fruit,GI 25465,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.047,0.0,0.303,0.0,0.0,0.0,0.0,0.125,0.014,2.15,0.129,2.812,0.0,0.004,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extract  1,TRP-240712-003,Extract,,0.0,0.0,,0.0,0.048,,0.0,0.0,,2.962,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.191,8.18,8.177,0.0,0.0,0.426,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extract  2,TRP-240712-004,Extract,,0.0,0.0,,0.0,0.048,,0.0,0.0,,2.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,6.89,6.892,0.0,0.0,0.385,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extract  3,TRP-240712-005,Extract,,0.0,0.0,,0.0,0.055,,0.0,0.0,,3.265,0.0,0.024,0.0,0.0,0.0,0.0,0.02,0.156,7.19,7.19,0.0,0.0,0.437,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extract  4,TRP-240712-006,Extract,,0.0,0.0,,0.0,0.128,,0.0,0.0,,3.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,6.43,6.303,0.182,0.0,0.542,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Pearl,TRP-240712-012,Fruit,23590,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.028,0.018,0.146,0.0,0.0,0.0,0.0,0.044,0.004,9.92,0.529,13.073,0.0,0.014,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutcracker,TRP-240712-013,Fruit,23590,0.0,0.0,,0.074,0.0,,0.0,0.0,,0.106,0.026,0.035,0.0,0.0,0.0,0.0,0.0,0.0,6.36,1.317,7.019,0.0,0.072,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melmac,TRP-240722-001,Fruit,GI: 30121,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.099,0.0,0.364,0.0,0.0,0.0,0.0,0.097,0.009,9.21,0.325,12.362,0.0,0.002,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluey Vuitton,TRP-240722-002,Fruit,GI: 30121,0.0,0.0,,0.021,0.0,,0.0,0.0,,0.062,0.131,0.251,0.0,0.0,0.0,0.0,0.153,0.007,12.76,0.706,16.773,0.0,0.03,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch #2 Leftover,TRP-240814-007,Distillate,GI 29228,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,472.605,90.632,,,,,,,83.926,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm not ready for this!,TRP-240814-008,Extract,GI 27202,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,312.708,4.072,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B+ Land,TRP-240819-001,Fruit,GI: 30121,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.112,0.083,0.213,0.0,0.0,0.0,0.0,0.004,0.0,4.96,0.176,6.662,0.0,0.0,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ps. zapotecorum - Popocatepetl ""Holy Grail"" Isolation",TRP-240821-001,Fruit,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.088,0.017,1.941,0.0,0.0,0.0,0.0,0.244,0.139,11.23,1.332,13.773,0.0,0.0,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa. cyanescens - Tamarind Tree British Virgin Islands,TRP-240821-002,Fruit,,0.0,0.0,0.0,0.209,0.059,0.0,0.0,0.0,0.0,0.0,0.674,2.847,0.0,0.0,0.0,0.0,0.344,0.136,40.17,3.81,50.598,0.203,0.04,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillbilly,TRP-240822-003,Fruit,GI:27354,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.042,0.0,0.364,0.0,0.0,0.0,0.0,0.026,0.0,5.08,0.141,6.879,0.0,0.0,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albino LA,TRP-240822-004,Fruit,GI:27354,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.191,0.044,0.164,0.0,0.0,0.0,0.0,0.013,0.016,6.03,0.635,7.514,0.0,0.0,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Garden ODPE Cubensis,TRP-240829-007,Fruit,GI:30539,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.307,0.007,0.091,0.0,0.0,0.0,0.0,0.003,0.021,4.56,1.381,4.423,0.0,0.085,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Garden MVP Cubensis,TRP-240829-008,Fruit,GI:30539,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.145,0.048,0.331,0.0,0.0,0.0,0.0,0.014,0.009,5.73,0.624,7.101,0.0,0.0,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakti mutants,TRP-240829-009,Fruit,GI:30539,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.581,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.01,3.4,0.698,3.766,0.0,0.104,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.A.T. Cubensis,TRP-240829-010,Fruit,GI:30539,0.0,0.0,0.0,0.027,0.007,0.0,0.0,0.0,0.0,0.193,0.014,0.23,0.0,0.0,0.0,0.0,0.005,0.03,2.99,0.682,3.213,0.0,0.073,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
