Sample ID,Sample Type,Sample Name,Cultivator Batch ID,Cultivar Name,Norbaeocystin (mg/g),Baeocystin (mg/g),Psilocybin (mg/g),Psilocin (mg/g)
1,Fruit,PEM Stems,,Purple Mystic x PE6,0.007,0.0597,2.005,0.1672
2,Mycellium,APE Mycellium,,Albino Penis Envy,0.006,0.0043,0.0322,0.0244
3,Concentrate,Sticky Goo - TW,,Tidal Wave - Bottoms,0.014,0.0711,12.5301,0
4,Concentrate,Granola - TW,,Tidal Wave - Bottoms,0.007,0.0163,2.1048,0
5,Fruit,Tampensis + Blob,,Psilcybe Tampensis ,0.008,0.0285,4.3869,0.4457
6,Fruit,Yeti,,True Albino Teacher Mutant,0.009,0.0982,4.8711,0.821
7,Fruit,PEM Caps ,,Purple Mystic x PE6,0.008,0.0554,4.1014,0.3636
8,Fruit,PEM Whole Fruit,,Purple Mystic x PE6,0.004,0.0193,2.832,0.2054
9,Fruit,Abort Mix + Contam,,Mix,0.011,0.0536,3.5484,0.4328
10,Fruit,Old Infinity Powder,,PE. TW & AG,0.02,0.1172,6.076,0.4602
11,Fruit,APE,,Albino Penis Envy,0.13,0.7094,5.5058,2.0969
12,Fruit,Maylaysian ,,Maylaysian ,0.017,0.1252,4.0426,0.2255
13,Fruit,Enigma,,Tidal Wave,0.005,0.0231,5.6037,0.5783
14,Fruit,Yeti (full grind) ,,True Albino Teacher Mutant,0.004,0.0139,4.1126,0.1806
15,Fruit,Peacock ,,Peacock ,0.004,0.0285,4.0291,0.1551
16,Fruit,Infinity Fresh Powder,,PE. TW & AG,0.007,0.0377,4.9241,0.5107
17,Fruit,Tidal Wave,,Tidal Wave,0.015,0.1729,5.6831,1.0167
18,Fruit,ARC,,Albino Roller Coaster,0.005,0.0229,3.8745,0.2679
19,Fruit,Malabar,,Malabar,0.006,0.0269,3.7342,0.8554
20,Fruit,Infinity Blob,,PE. TW & AG,0.017,0.0684,8.3185,0.5402
21,Fruit,Infinity Aborts,,PE. TW & AG,0.007,0.0177,5.0444,0.1218
22,Fruit,Infinity Bottoms ,,PE. TW & AG,0.002,0.0039,1.3936,0.1569
23,Fruit,Undried Infinity (1st Flush) ,,PE. TW & AG,0.002,0.0045,0.585,0.1374
24,Fruit,Undried Infinity (2nd Flush) ,,PE. TW & AG,0.001,0.0013,0.2037,0.1118
25,Fruit,Infinity Caps,,PE. TW & AG,0.028,0.1626,6.4508,0.3768
26,Fruit,Infinity Stems,,PE. TW & AG,0.012,0.0711,7.4303,0.247
27,Concentrate,Old MeOH Extract,,PE. TW & AG,0.016,0.0786,25.2108,0.0005
28,Concentrate,Granola 2 White ,,PE. TW & AG,0,0.0214,2.8325,0.0014
29,Concentrate,Dry Goo 1,,PE. TW & AG,0.009,0.0511,9.6844,0
30,Concentrate,Wet Goo 2,,PE. TW & AG,0.015,0.1539,18.8106,0.1264
31,Concentrate,Wet Goo 3(Weak),,PE. TW & AG,0.011,0.1226,19.2684,0
32,Concentrate,Wet Goo 4(Strong),,PE. TW & AG,0.009,0.137,19.3245,0
33,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.007,0.047,3.7954,0.824
