Date,Sample ID,Sample Type,Sample Name,Cultivator Batch ID,Client/Company,Cultivar Name/Lineage,Norbaeocystin (Wt %),Norbaeocystin (mg/g),5-hydroxytryptophan (Wt %),5-hydroxytryptophan (mg/g),Baeocystin (Wt %),Baeocystin (mg/g),Aeruganascin (Wt %),Aeruganascin (mg/g),Serotonin (Wt %),Serotonin (mg/g),Psilocybin (Wt %),Psilocybin (mg/g),Adenosine (Wt %),Adenosine (mg/g),Bufotenin (Wt %),Bufotenin (mg/g),Norpsilocin (Wt %),Norpsilocin (mg/g),Tryptophan (Wt %),Tryptophan (mg/g),4-hydroxytryptamine (Wt %),4-hydroxytryptamine (mg/g),Psilocin (Wt %),Psilocin (mg/g),4-hydroxy TMT (Wt %),4-hydroxy TMT (mg/g),Tryptamine (Wt %),Tryptamine (mg/g),N NMT (Wt %),N NMT (mg/g),N-N DMT (Wt %),N-N DMT (mg/g),4-acetoxy DMT (Wt %),4-acetoxy DMT (mg/g),5-methoxy NMT (Wt %),5-methoxy NMT (mg/g),5-methoxy DMT (Wt %),5-methoxy DMT (mg/g),Total Hydroxy Tryptamines (mg/g),Total Phosphate Tryptamines (mg/g),Total Tryptamines+Nucleosides (Wt %),Total All Actives (mg/g),Mass (g),Extraction  Volume (mL),Dilution Factor,Liquid Density (g/mL),Number of Servings,Mass of Edible Serving (g),Mass of Edible Package (g),Batch ID,Raw Norbaeocystin (ug/mL),Raw 5-hydroxytryptamine (ug/mL),Raw Baeocystin (ug/mL),Raw Aeruginascin (ug/mL),Raw Serotonin (ug/mL),Raw Psilocybin (ug/mL),Raw Adenosine (ug/mL),Raw 4-hydroxytryptamine (ug/mL),Raw Tryptophan (ug/mL),Raw Bufotenin (ug/mL),Raw Cordycepin (ug/mL),Raw Norpsilocin (ug/mL),Raw Psilocin (ug/mL),Raw Tryptamine (ug/mL),Raw Trimethyltryptamine (ug/mL),Raw Mescaline (ug/mL),Raw 4-Hydroxy MET (ug/mL),Raw N-NMT (ug/mL),Raw N-N-DMT (ug/mL),Raw 5-Methoxy NMT (ug/mL),Raw 5-Methoxy DMT (ug/mL),Raw 4-acetoxy DMT (ug/mL),Sample Prep Notes,LCMS vs. HPLC,Norbaeocystin (mg/mL),5-hydroxytryptophan (mg/mL),Baeocystin (mg/mL),Aeruganascin (mg/mL),Serotonin (mg/mL),Psilocybin (mg/mL),Adenosine (mg/mL),Bufotenin (mg/mL),Tryptophan (mg/mL),4-hydroxytryptamine (mg/mL),Norpsilocin (mg/mL),Psilocin (mg/mL),4-hydroxy TMT (mg/mL),Tryptamine (mg/mL),N NMT (mg/mL),N-N DMT (mg/mL),5-methoxy DMT (mg/mL),4-acetoxy DMT (mg/mL),Total Tryptamines+Nucleosides(mg/mL),Total All Analytes (mg/mL),,Norbaeocystin (mg/sample),5-hydroxytryptophan (mg/sample),Baeocystin (mg/sample),Aeruganascin (mg/sample),Serotonin (mg/sample),Psilocybin (mg/sample),Adenosine (mg/sample),Bufotenin (mg/sample),Tryptophan (mg/sample),4-hydroxytryptamine (mg/sample),Norpsilocin (mg/sample),Psilocin (mg/sample),4-hydroxy TMT (mg/sample),Tryptamine (mg/sample),N NMT (mg/sample),N-N DMT (mg/sample),5-methoxy DMT (mg/sample),4-acetoxy DMT (mg/sample),Total Tryptamines + Nucleosides (mg/serving),Total Tryptamines + Nucleosides (mg/package),Total Analytes (mg/serving),Total All Analytes (mg/package),PsilocinEQ (mg/serving),PsilocinEQ (mg/package)
8/14/2021,1,Fruit,PEM Stems,,,Purple Mystic x PE6,0.001,0.007,,,0.006,0.0597,,,,,0.201,2.005,,,,,,,,,,,0.017,0.1672,,,,,,,,,,,,,,,0.17,2.07,0.22,2.24,1.012,15,2,,,,,,0.2509,,2.0134,,,67.6361,NT,,NT,NT,NT,NT,5.6389,,,,,,,,,NT,,LCMS,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0
8/14/2021,2,Mycellium,APE Mycellium,,,Albino Penis Envy,0.001,0.006,,,0,0.0043,,,,,0.003,0.0322,,,,,,,,,,,0.002,0.0244,,,,,,,,,,,,,,,0.02,0.04,0.01,0.07,0.064,5,2,,,,,,0.0401,,0.0275,NT,,0.2058,NT,,NT,NT,NT,NT,0.1564,,,,,,,,,NT,,LCMS,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0
8/14/2021,3,Concentrate,Sticky Goo - TW,,,Tidal Wave - Bottoms,0.001,0.014,,,0.007,0.0711,,,,,1.253,12.5301,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,12.61,1.26,12.61,0.563,15,10,,,,,,0.051,,0.267,NT,,47.0298,NT,,NT,NT,NT,NT,0,,,,,,,,,NT,,LCMS,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0
8/14/2021,4,Concentrate,Granola - TW,,,Tidal Wave - Bottoms,0.001,0.007,,,0.002,0.0163,,,,,0.21,2.1048,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,2.13,0.21,2.13,1.003,15,10,,,,,,0.0487,,0.1092,NT,,14.074,NT,,NT,NT,NT,NT,0,,,,,,,,,NT,,LCMS,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0
8/14/2021,5,Fruit,Tampensis + Blob,,,Psilcybe Tampensis ,0.001,0.008,,,0.003,0.0285,,,,,0.439,4.3869,,,,,,,,,,,0.045,0.4457,,,,,,,,,,,,,,,0.45,4.42,0.49,4.87,1.077,15,2,,,,,,0.2861,,1.0233,NT,,157.4903,NT,,NT,NT,NT,NT,15.9996,,,,,,,,,NT,,LCMS,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0
8/14/2021,6,Fruit,Yeti,,,True Albino Teacher Mutant,0.001,0.009,,,0.01,0.0982,,,,,0.487,4.8711,,,,,,,,,,,0.082,0.821,,,,,,,,,,,,,,,0.82,4.98,0.58,5.8,1.001,15,2,,,,,,0.2976,,3.2771,NT,,162.5339,NT,,NT,NT,NT,NT,27.3944,,,,,,,,,NT,,LCMS,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0
8/14/2021,7,Fruit,PEM Caps ,,,Purple Mystic x PE6,0.001,0.008,,,0.006,0.0554,,,,,0.41,4.1014,,,,,,,,,,,0.036,0.3636,,,,,,,,,,,,,,,0.36,4.17,0.45,4.53,1.034,15,2,,,,,,0.2908,,1.9089,NT,,141.3632,NT,,NT,NT,NT,NT,12.5321,,,,,,,,,NT,,LCMS,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0
8/14/2021,8,Fruit,PEM Whole Fruit,,,Purple Mystic x PE6,0,0.004,,,0.002,0.0193,,,,,0.283,2.832,,,,,,,,,,,0.021,0.2054,,,,,,,,,,,,,,,0.21,2.86,0.31,3.06,1.047,15,2,,,,,,0.1383,,0.6731,NT,,98.8373,NT,,NT,NT,NT,NT,7.1696,,,,,,,,,NT,,LCMS,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0
8/14/2021,9,Fruit,Abort Mix + Contam,,,Mix,0.001,0.011,,,0.005,0.0536,,,,,0.355,3.5484,,,,,,,,,,,0.043,0.4328,,,,,,,,,,,,,,,0.43,3.61,0.4,4.05,1.024,15,2,,,,,,0.3686,,1.8284,NT,,121.1188,NT,,NT,NT,NT,NT,14.772,,,,,,,,,NT,,LCMS,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0
8/17/2021,10,Fruit,Old Infinity Powder,,,PE. TW & AG,0.002,0.02,,,0.012,0.1172,,,,,0.608,6.076,,,,,,,,,,,0.046,0.4602,,,,,,,,,,,,,,,0.46,6.21,0.67,6.67,1.021,15,2,,,,,,0.6702,,3.9873,NT,,206.7859,NT,,NT,NT,NT,NT,15.6635,,,,,,,,,NT,,LCMS,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0
